City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,25,6.11,scattered clouds
209,Whitehorse,CA,60.7161,-135.0538,63.01,40,14,15.01,few clouds
210,Tasiilaq,GL,65.6145,-37.6368,41.16,63,26,9.8,scattered clouds
211,Saskylakh,RU,71.9167,114.0833,40.14,96,100,11.32,light rain
212,Arroio Grande,BR,-32.2375,-53.0869,52.66,89,11,6.38,few clouds
213,Kurumkan,RU,54.3,110.3,54.36,88,100,6.89,moderate rain
214,Altus,US,34.6381,-99.334,78.87,81,0,0.0,clear sky
215,Yar-Sale,RU,66.8333,70.8333,42.82,85,100,9.98,light rain
216,Ketchikan,US,55.3422,-131.6461,61.88,74,13,4.07,few clouds
217,Kolokani,ML,13.5728,-8.0339,70.75,89,36,1.23,scattered clouds
218,Port Blair,IN,11.6667,92.75,84.24,79,75,2.3,broken clouds
219,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.87,97,27,2.44,scattered clouds
220,Sangar,RU,63.9242,127.4739,45.25,84,100,10.4,light rain
221,Saint George,US,37.1041,-113.5841,103.95,12,0,8.05,clear sky
222,Malya,TZ,-2.9833,33.5167,66.47,61,68,12.71,broken clouds
223,Ponta Do Sol,PT,32.6667,-17.1,73.71,76,100,8.52,overcast clouds
224,Alta Floresta,BR,-9.8756,-56.0861,76.5,32,29,1.16,scattered clouds
225,Amos,CA,48.5669,-78.1162,46.18,96,100,8.39,overcast clouds
226,Tyukhtet,RU,56.5389,89.3011,58.91,98,100,5.57,light rain
227,Yancheng,CN,33.3856,120.1253,79.77,66,98,7.67,overcast clouds
228,Leshukonskoye,RU,64.8989,45.7622,40.42,73,100,9.82,overcast clouds
229,Cap Malheureux,MU,-19.9842,57.6142,70.72,75,5,7.85,clear sky
230,Alexandria,EG,31.2156,29.9553,78.84,69,0,8.19,clear sky
231,Kruisfontein,ZA,-34.0033,24.7314,45.88,70,4,6.2,clear sky
232,Hobyo,SO,5.3505,48.5268,75.22,84,58,19.33,broken clouds
233,Boguchany,RU,58.3814,97.4531,49.46,84,99,6.24,overcast clouds
234,Okha,RU,53.5739,142.9478,65.21,69,0,14.36,clear sky
235,Bud,US,39.447,-86.1758,70.92,80,3,6.24,clear sky
236,Ilulissat,GL,69.2167,-51.1,39.22,87,100,10.36,light intensity shower rain
237,Carnarvon,AU,-24.8667,113.6333,75.9,32,77,16.22,broken clouds
238,Healesville,AU,-37.65,145.5167,58.44,67,96,1.01,overcast clouds
239,Vanavara,RU,60.34,102.2797,42.33,86,71,12.48,light rain
240,Camacha,PT,33.0833,-16.3333,67.42,78,40,9.22,scattered clouds
241,Kaeo,NZ,-35.1,173.7833,58.62,60,100,6.82,overcast clouds
242,Acari,PE,-15.4311,-74.6158,62.37,72,60,4.34,broken clouds
243,Touros,BR,-5.1989,-35.4608,73.51,76,5,16.84,clear sky
244,The Valley,AI,18.217,-63.0578,83.82,75,0,15.28,clear sky
245,Te Anau,NZ,-45.4167,167.7167,54.48,88,95,3.85,overcast clouds
246,Takhtamygda,RU,54.1,123.5667,56.35,37,7,7.58,clear sky
247,Cabatuan,PH,10.8794,122.486,86.2,69,100,6.98,overcast clouds
248,Itacarambi,BR,-15.1022,-44.0919,63.93,57,0,7.83,clear sky
249,Dingle,PH,10.9995,122.6711,86.14,71,100,8.16,overcast clouds
250,Mareeba,AU,-17.0,145.4333,81.45,62,5,9.73,clear sky
251,Erice,IT,38.037,12.5865,70.27,67,91,4.34,overcast clouds
252,Pontianak,ID,-0.0333,109.3333,84.18,79,40,3.44,scattered clouds
253,Pechenga,RU,69.5259,31.1703,39.02,81,84,10.18,broken clouds
254,Komsomolskiy,UZ,40.4272,71.7189,68.72,40,0,6.91,clear sky
255,Santa Rosa,PH,14.3122,121.1114,86.09,73,97,10.42,overcast clouds
256,Ures,MX,29.4333,-110.4,82.53,69,34,6.02,scattered clouds
257,Vardo,NO,70.3705,31.1107,44.58,76,100,13.8,light intensity drizzle
258,Xining,CN,36.6167,101.7667,56.93,68,100,2.57,overcast clouds
259,Gasa,PS,31.5,34.4667,80.89,82,13,6.78,few clouds
260,Moose Factory,CA,51.2585,-80.6094,44.58,100,100,9.22,overcast clouds
261,Yulara,AU,-25.2406,130.9889,60.33,66,100,8.81,overcast clouds
262,Vossevangen,NO,60.623,6.4229,55.54,96,8,1.03,clear sky
263,Sumenep,ID,-7.0167,113.8667,84.78,66,86,10.18,overcast clouds
264,Brae,GB,60.3964,-1.353,52.36,72,98,1.99,overcast clouds
265,Sangmelima,CM,2.9333,11.9833,66.6,97,100,4.36,light rain
266,Salalah,OM,17.0151,54.0924,78.89,78,75,2.3,broken clouds
267,San Luis,AR,-33.295,-66.3356,56.98,35,0,9.04,clear sky
268,Tianpeng,CN,30.9866,103.9393,66.63,93,100,3.15,overcast clouds
269,Gamba,GA,-2.65,10.0,72.84,89,65,6.62,broken clouds
270,Pangnirtung,CA,66.1451,-65.7125,45.81,58,100,6.76,overcast clouds
271,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.66,45,0,10.29,clear sky
272,Normandin,CA,48.8333,-72.5321,53.44,83,78,4.81,broken clouds
273,Santa Maria,BR,-29.6842,-53.8069,56.32,86,7,4.97,clear sky
274,Birnin Kebbi,NG,12.4539,4.1975,76.78,83,78,6.76,broken clouds
275,Alhaurin De La Torre,ES,36.664,-4.5614,79.23,59,0,6.91,clear sky
276,Sibolga,ID,1.7427,98.7792,77.63,88,99,0.81,overcast clouds
277,Zunyi,CN,27.6867,106.9072,71.6,67,31,4.61,scattered clouds
278,Marijampole,LT,54.5667,23.35,48.69,82,94,7.36,overcast clouds
279,Saint-Joseph,RE,-21.3667,55.6167,66.58,77,32,8.5,scattered clouds
280,Hovd,MN,48.0056,91.6419,65.48,27,5,2.06,clear sky
281,Arman,RU,59.7,150.1667,68.02,73,3,6.2,clear sky
282,Parainen,FI,60.3067,22.301,48.15,81,7,12.77,clear sky
283,Coahuayana,MX,18.7333,-103.6833,80.37,87,98,7.05,overcast clouds
284,Belyy Yar,RU,53.6039,91.3903,63.86,57,0,4.47,clear sky
285,Ola,RU,59.5833,151.2833,68.14,73,6,6.64,clear sky
286,Lompoc,US,34.6391,-120.4579,75.34,78,0,9.22,clear sky
287,Muyezerskiy,RU,63.9333,31.65,42.35,84,100,14.29,overcast clouds
288,North Platte,US,41.1239,-100.7654,73.29,53,0,5.75,clear sky
289,Barcelona,ES,41.3888,2.159,77.54,58,0,13.8,clear sky
290,Tautira,PF,-17.7333,-149.15,77.22,74,12,13.42,few clouds
291,Darhan,MN,49.4867,105.9228,62.91,48,20,6.93,few clouds
292,Sept-Iles,CA,50.2001,-66.3821,62.06,97,97,3.0,light rain
293,Basco,PH,20.4487,121.9702,85.01,79,100,22.64,overcast clouds
294,Retsag,HU,47.9282,19.1372,61.95,67,100,4.59,moderate rain
295,Kaitangata,NZ,-46.2817,169.8464,59.74,68,14,4.72,few clouds
296,Phan Thiet,VN,10.9333,108.1,85.91,65,88,1.99,overcast clouds
297,Severo-Kurilsk,RU,50.6789,156.125,57.25,77,100,1.41,overcast clouds
