City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Izberbash,RU,75.25,clear sky,42.5696,47.8645,Ramina
110,Atuona,PF,76.28,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
113,Riyadh,SA,85.5,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
116,Russell,US,82.0,clear sky,32.3502,-85.1999,Macs
119,Puerto Escondido,MX,81.28,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
122,Waingapu,ID,85.46,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
123,Kapaa,US,83.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Hilo,US,83.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
125,Alofi,NU,75.38,light rain,-19.0595,-169.9187,Taloa Heights
130,Bubaque,GW,79.63,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
133,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
136,Along,IN,75.0,overcast clouds,28.1667,94.7667,Hotel West
142,Itaituba,BR,82.76,overcast clouds,-4.2761,-55.9836,Hotel Campos
145,Trinidad,BO,76.57,clear sky,-14.8333,-64.9,Hotel Piesta
152,Hithadhoo,MV,81.23,scattered clouds,-0.6,73.0833,Scoop Guest House
154,Karimganj,IN,79.39,overcast clouds,24.8667,92.35,AHAR /AHELI HOTEL & RESTAURANT
158,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
160,Kailua,US,87.03,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
169,Cedar City,US,83.39,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
170,Hongjiang,CN,80.13,broken clouds,27.11,109.9956,洪江大酒店
173,Ranir Bazar,IN,85.91,mist,23.8333,91.3667,Robiul
174,Manono,CD,76.33,broken clouds,-7.3,27.4167,Hotel hewa bora
185,Kavieng,PG,85.51,broken clouds,-2.5744,150.7967,Nusa Island Retreat
188,Torremolinos,ES,79.9,clear sky,36.6204,-4.4998,Medplaya Hotel Bali
189,Wanning,CN,86.14,clear sky,18.8003,110.3967,Paradise Hotel
197,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
200,Sham Churasi,IN,81.45,clear sky,31.4997,75.7494,Victoria Resorts
204,Palmas,BR,80.47,smoke,-10.2128,-48.3603,Hotel Lago da Palma
207,Sao Filipe,CV,77.32,light rain,14.8961,-24.4956,Hotel Xaguate
214,Altus,US,78.87,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
218,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
224,Alta Floresta,BR,76.5,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
227,Yancheng,CN,79.77,overcast clouds,33.3856,120.1253,Yancheng Lidu Boutique Hotel
230,Alexandria,EG,78.84,clear sky,31.2156,29.9553,Royal Crown Hotel
232,Hobyo,SO,75.22,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
237,Carnarvon,AU,75.9,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
244,The Valley,AI,83.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
247,Cabatuan,PH,86.2,overcast clouds,10.8794,122.486,MVC Transient Room
249,Dingle,PH,86.14,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
250,Mareeba,AU,81.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
252,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
255,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
256,Ures,MX,82.53,scattered clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
259,Gasa,PS,80.89,few clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
263,Sumenep,ID,84.78,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
266,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
